iter	Logloss
0	0.3551292214
1	0.205985814
2	0.09661718018
3	0.05459660015
4	0.02956675608
5	0.02091526276
6	0.01471765879
7	0.01042188312
8	0.006857402976
9	0.005021125882
10	0.003943801153
11	0.003086173809
12	0.0019874432
13	0.001290558847
14	0.001121064678
15	0.0009207564504
16	0.0007768209881
17	0.0006988621358
18	0.0005650376265
19	0.0004745532091
20	0.0004579491779
21	0.0003996992146
22	0.0003659306743
23	0.0003282815777
24	0.0002887128932
25	0.0002739492697
26	0.0002542483814
27	0.0002353280254
28	0.0002071602723
29	0.0001996303549
30	0.0001929162167
31	0.0001929050894
32	0.0001929050894
33	0.0001906955187
34	0.0001906955187
35	0.0001906955187
36	0.0001906683128
37	0.0001906683128
38	0.0001906683128
39	0.0001906683128
40	0.0001906591655
41	0.0001906591655
42	0.0001906591655
43	0.0001799813268
44	0.0001799813268
45	0.0001742880653
46	0.000157933548
47	0.000157905702
48	0.000157905702
49	0.000157905702
50	0.000157905702
51	0.000157905702
52	0.000157905702
53	0.0001578983765
54	0.0001578983765
55	0.0001578983765
56	0.0001578887131
57	0.0001578887131
58	0.0001410052824
59	0.0001410202008
60	0.0001409935032
61	0.0001409935032
62	0.0001409845624
63	0.0001409699055
64	0.0001276935619
65	0.0001276935619
66	0.0001276917908
67	0.0001227415186
68	0.0001227415186
69	0.0001202870527
70	0.00012029309
71	0.00012029309
72	0.0001202761111
73	0.0001202527989
74	0.0001202527989
75	0.0001181215963
76	0.0001181215963
77	0.000117491416
78	0.0001174993944
79	0.000117494601
80	0.000117494601
81	0.0001174779383
82	0.0001150711076
83	0.0001150641865
84	0.0001150533283
85	0.0001150690695
86	0.0001150548274
87	0.0001150437943
88	0.0001150437943
89	0.0001150451411
90	0.0001150451411
91	0.0001150271114
92	0.0001150221533
93	0.0001150282797
94	0.0001150282797
95	0.0001150073672
96	0.0001149907224
97	0.0001149907224
98	0.0001149907224
99	0.0001149692317
100	0.0001149825203
101	0.0001149836422
102	0.0001149836422
103	0.0001149586246
104	0.0001149586246
105	0.0001149586246
106	0.0001149586246
107	0.0001149586246
108	0.0001124117704
109	0.0001124117704
110	0.0001123718398
111	0.0001123909463
112	0.0001123763044
113	0.0001123541421
114	0.0001123541421
115	0.0001123541421
116	0.0001123707405
117	0.0001123554978
118	0.0001123570421
119	0.0001123496598
120	0.0001123496598
121	0.0001123564357
122	0.0001123094265
123	0.000112311491
124	0.000112291171
125	0.0001122890279
126	0.000112280288
127	0.0001122817441
128	0.0001122675299
129	0.0001122623649
130	0.0001122674891
131	0.0001122524737
132	0.0001122750219
133	0.0001116556647
134	0.0001116385862
135	0.0001116385862
136	0.0001116331114
137	0.0001116228154
138	0.0001116197005
139	0.0001116073075
140	0.0001116073075
141	0.0001116073075
142	0.0001116076189
143	0.0001116056718
144	0.0001116031666
145	0.0001115918221
146	0.0001115809247
147	0.0001115809247
148	0.0001115980862
149	0.0001115639703
150	0.000111582873
151	0.0001115778581
152	0.0001115778581
153	0.0001115231798
154	0.000111519306
155	0.000111519306
156	0.0001115112126
157	0.0001114838691
158	0.0001114804185
159	0.000111471704
160	0.0001114711549
161	0.0001114711549
162	0.0001114711549
163	0.0001114650795
164	0.0001114528616
165	0.0001114270809
166	0.0001114056203
167	0.0001113961999
168	0.0001113601776
169	0.0001113314017
170	0.0001113126023
171	0.0001113204657
172	0.0001113082059
173	0.0001113191839
174	0.0001112858875
175	0.0001113016091
176	0.0001112721588
177	0.0001112450329
178	0.0001112415793
179	0.0001112394681
180	0.0001112024242
181	0.0001111982812
182	0.0001112048854
183	0.0001112119575
184	0.0001111696931
185	0.0001111672632
186	0.0001111672632
187	0.0001111672632
188	0.0001111672632
189	0.0001111672632
190	0.0001111672632
191	0.0001111672632
192	0.0001111672632
193	0.0001111672632
194	0.0001111672632
195	0.0001111672632
196	0.0001111672632
197	0.0001111672632
198	0.0001111672632
199	0.0001111672632
